,name,location,2011,2012,2013,2014,2015,2016,2017,2018
111,Bilkent University,Turkey,95.7,60.8,60.1,69.2,76.0,64.1,68.3,67.1
112,Tokyo Institute of Technology,Japan,45.5,49.5,52.0,52.0,48.1,42.2,41.7,39.8
113,Eindhoven University of Technology,Netherlands,56.9,62.1,63.8,63.6,57.3,70.7,71.7,72.3
114,National Taiwan University,Taiwan,61.6,39.2,45.5,47.8,47.7,47.3,54.5,53.4
115,University of Hawai’i at Mānoa,United States,81.0,44.3,,,51.5,67.7,73.2,76.2
116,"University of California, Riverside",United States,78.3,89.6,90.3,91.8,91.5,91.2,93.4,92.3
117,University of Geneva,Switzerland,63.1,65.1,73.1,77.2,78.2,78.5,79.3,82.9
118,KU Leuven,Belgium,45.2,63.0,67.2,72.9,71.8,87.3,90.1,88.7
119,Nanjing University,China,66.0,42.3,52.1,52.6,59.6,54.2,61.5,64.9
120,Queen Mary University of London,United Kingdom,73.5,83.7,85.4,87.0,88.9,93.3,95.1,96.7
121,Technical University of Denmark,Denmark,64.6,66.8,76.9,78.7,79.6,77.8,80.2,81.6
122,Michigan State University,United States,63.7,73.6,73.8,71.5,74.0,76.8,81.1,82.6
123,Leiden University,Netherlands,59.3,71.7,78.4,84.2,82.3,85.2,86.1,87.8
124,Ghent University,Belgium,52.8,63.4,71.3,74.9,73.8,71.2,75.7,77.6
125,Lancaster University,United Kingdom,74.9,75.4,73.2,75.4,78.0,85.3,84.7,83.2
126,University of Alberta,Canada,49.7,51.7,56.6,59.3,61.8,63.6,69.9,70.5
127,University of Glasgow,United Kingdom,65.1,77.5,78.1,79.2,83.7,92.3,90.6,92.6
128,Stockholm University,Sweden,75.9,90.2,93.0,88.7,90.9,82.5,86.8,89.1
129,Osaka University,Japan,40.0,40.0,46.4,50.4,51.1,37.4,38.2,38.7
130,University of Victoria,Canada,79.1,79.2,82.7,75.5,86.7,79.0,77.9,72.2
131,Tohoku University,Japan,41.2,42.9,48.9,47.3,49.6,49.4,50.4,46.5
132,University of Iowa,United States,54.8,61.3,65.7,70.4,71.0,73.5,74.9,78.2
133,University of Freiburg,Germany,64.3,67.8,72.4,71.8,74.0,80.5,83.6,83.1
134,University of Bergen,Norway,73.1,65.2,66.2,66.6,68.5,82.4,86.2,90.0
135,University of Lausanne,Switzerland,59.1,77.8,76.2,74.5,76.5,76.2,75.6,78.5
136,University of Sheffield,United Kingdom,58.4,67.5,71.0,72.4,74.3,80.1,82.7,86.8
137,University of Montreal,Canada,51.9,48.7,60.9,59.3,62.9,69.6,77.4,79.0
