,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,percentage_male,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url,male_students
20,United States,University of Michigan,482,21,21,95.7,47,46.2,333,55.8,367,83.1,86.3,20,77.2,20,52.0,41818,16%,8.6,"Medicine & Dentistry,Other Health,Biological Sciences,Accounting & Finance,General Engineering,Sport Science,Geology, Environmental, Earth & Marine Sciences,Psychology,Chemistry,Physics & Astronomy,Civil Engineering,Sociology,Politics & International Studies (incl Development Studies),Geography,Mathematics & Statistics,Computer Science,Economics & Econometrics,Law,Art, Performing Arts & Design,Business & Management,History, Philosophy & Theology,Languages, Literature & Linguistics,Education,Communication & Media Studies,Mechanical & Aerospace Engineering,Archaeology,Chemical Engineering,Architecture,Electrical & Electronic Engineering",/world-university-rankings/university-michigan,21745.0
21,Singapore,National University of Singapore,504,=22,22,81.3,193,61.9,181,95.8,20,82.8,88.2,14,77.4,19,49.0,30602,30%,17.0,"Other Health,Accounting & Finance,General Engineering,Art, Performing Arts & Design,Psychology,Geography,Chemistry,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Civil Engineering,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Law,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Communication & Media Studies,Architecture,Electrical & Electronic Engineering,Chemical Engineering,Medicine & Dentistry,Economics & Econometrics,Physics & Astronomy",/world-university-rankings/national-university-singapore,14994.0
22,Canada,University of Toronto,483,=22,23,92.6,75,46.5,329,80.1,137,82.8,84.8,23,74.6,24,39.0,69427,17%,18.7,"Physics & Astronomy,Mechanical & Aerospace Engineering,Chemistry,Law,Other Health,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,General Engineering,Biological Sciences,Sport Science,Geography,Psychology,Medicine & Dentistry,Mathematics & Statistics,Civil Engineering,Computer Science,Sociology,Economics & Econometrics,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Business & Management,History, Philosophy & Theology,Education,Accounting & Finance,Agriculture & Forestry,Communication & Media Studies,Electrical & Electronic Engineering,Architecture,Chemical Engineering,Archaeology",/world-university-rankings/university-toronto,
23,United States,Carnegie Mellon University,485,24,24,99.7,7,50.4,277,79.1,147,81.9,83.7,25,65.8,36,61.0,12676,45%,13.5,"Chemistry,Other Health,General Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Psychology,Geography,Computer Science,Civil Engineering,Economics & Econometrics,Sociology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Chemical Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Architecture",/world-university-rankings/carnegie-mellon-university,7732.0
24,United Kingdom,London School of Economics and Political Science,511,=25,25,94.9,53,33.7,821,92.2,43,79.4,72.0,43,71.8,30,48.0,10065,71%,12.2,"Mathematics & Statistics,Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies,Psychology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Law,Geography,Business & Management,History, Philosophy & Theology,Accounting & Finance",/world-university-rankings/london-school-economics-and-political-science,4831.0
25,United States,University of Washington,489,=25,26,99.0,17,47.3,319,56.5,358,79.4,79.9,28,67.9,34,48.0,44945,16%,11.4,"Business & Management,Archaeology,Geography,Education,Accounting & Finance,Law,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Psychology,Sociology,Civil Engineering,Architecture,Biological Sciences,Computer Science,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,General Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Other Health,Chemistry,History, Philosophy & Theology,Agriculture & Forestry,Chemical Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-washington,21573.0
26,United Kingdom,University of Edinburgh,500,=27,27,97.0,35,36.3,646,92.0,46,79.2,74.2,36,66.8,35,41.0,26759,40%,12.5,"Civil Engineering,Archaeology,Electrical & Electronic Engineering,Architecture,Medicine & Dentistry,Chemical Engineering,Mechanical & Aerospace Engineering,Veterinary Science,Mathematics & Statistics,Law,Politics & International Studies (incl Development Studies),Sociology,Economics & Econometrics,History, Philosophy & Theology,Business & Management,Computer Science,Languages, Literature & Linguistics,Accounting & Finance,Education,Art, Performing Arts & Design,Biological Sciences,Chemistry,Other Health,Geology, Environmental, Earth & Marine Sciences,Psychology,Sport Science,Geography,Physics & Astronomy",/world-university-rankings/university-edinburgh,10971.0
27,United States,New York University,508,=27,28,96.5,43,37.0,616,53.4,394,79.2,77.4,34,73.7,27,44.0,43860,26%,9.6,"Psychology,Architecture,Geography,Medicine & Dentistry,Biological Sciences,Law,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Other Health,General Engineering,Mathematics & Statistics,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Business & Management,Languages, Literature & Linguistics,Computer Science,Sociology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Accounting & Finance,Education,Electrical & Electronic Engineering,Archaeology,Communication & Media Studies,Chemical Engineering",/world-university-rankings/new-york-university,19298.0
28,China,Peking University,514,=27,29,74.2,275,100.0,8,53.0,404,79.2,85.1,22,83.0,11,53.0,42136,16%,8.9,"Politics & International Studies (incl Development Studies),General Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Architecture,Economics & Econometrics,Business & Management,Psychology,Agriculture & Forestry,History, Philosophy & Theology,Computer Science,Veterinary Science,Art, Performing Arts & Design,Sport Science,Law,Chemical Engineering,Biological Sciences,Education,Physics & Astronomy,Geography,Other Health,Sociology,Communication & Media Studies,Chemistry,Languages, Literature & Linguistics,Medicine & Dentistry,Archaeology,Mechanical & Aerospace Engineering,Mathematics & Statistics",/world-university-rankings/peking-university,22332.0
29,China,Tsinghua University,535,30,30,71.4,307,99.8,19,41.0,598,79.0,93.2,7,80.2,16,68.0,42089,9%,13.7,"Languages, Literature & Linguistics,General Engineering,Accounting & Finance,Art, Performing Arts & Design,Business & Management,Mathematics & Statistics,Architecture,Other Health,Civil Engineering,Chemical Engineering,Psychology,Mechanical & Aerospace Engineering,Chemistry,Law,Biological Sciences,Communication & Media Studies,Education,Sport Science,Physics & Astronomy,History, Philosophy & Theology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Economics & Econometrics,Sociology,Computer Science,Electrical & Electronic Engineering",/world-university-rankings/tsinghua-university,28620.0
