,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,percentage_male,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url,male_students
403,Italy,University of Bari Aldo Moro,818,401–500,404,70.1,318,38.9,525,34.7,689,35.0–39.9,17.9,585,25.0,544,37.0,47856,2%,60.5,"Chemistry,Computer Science,Business & Management,Archaeology,Law,Languages, Literature & Linguistics,Physics & Astronomy,Other Health,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Biological Sciences,Education,Mathematics & Statistics,Sport Science,Economics & Econometrics,Psychology,History, Philosophy & Theology,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,Accounting & Finance",/world-university-rankings/university-bari-aldo-moro,17706.0
404,Israel,Bar-Ilan University,770,401–500,405,44.9,567,59.0,196,53.3,395,35.0–39.9,32.7,272,27.6,446,39.0,16412,5%,17.5,"Art, Performing Arts & Design,Medicine & Dentistry,History, Philosophy & Theology,Other Health,Languages, Literature & Linguistics,Archaeology,Economics & Econometrics,Business & Management,Mathematics & Statistics,Biological Sciences,Physics & Astronomy,Computer Science,Chemistry,Communication & Media Studies,General Engineering,Education,Geography,Law,Politics & International Studies (incl Development Studies),Psychology,Sociology",/world-university-rankings/bar-ilan-university,6400.0
405,Italy,University of Bergamo,587817,401–500,406,69.6,327,41.5,431,34.3,698,35.0–39.9,20.0,519,20.2,805,37.0,16769,6%,55.5,"Mathematics & Statistics,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Other Health,History, Philosophy & Theology,Art, Performing Arts & Design,Psychology,Education,Economics & Econometrics,Politics & International Studies (incl Development Studies),Law,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science",/world-university-rankings/university-bergamo,6204.0
406,Turkey,Bilkent University,668,401–500,407,67.1,362,42.8,396,55.6,368,35.0–39.9,20.3,508,23.3,632,55.0,10007,5%,14.4,"Business & Management,Economics & Econometrics,Art, Performing Arts & Design,Archaeology,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Computer Science,Architecture,Languages, Literature & Linguistics,Biological Sciences,General Engineering,Physics & Astronomy,Mathematics & Statistics,Mechanical & Aerospace Engineering,Education,Chemistry,Electrical & Electronic Engineering,Sociology,Law,Psychology",/world-university-rankings/bilkent-university,5503.0
407,United States,"Binghamton University, State University of New York",771,401–500,408,70.3,315,34.9,729,42.9,565,35.0–39.9,19.5,534,23.0,647,52.0,17238,15%,23.7,"General Engineering,Other Health,Mathematics & Statistics,Computer Science,Archaeology,Chemical Engineering,Sociology,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Economics & Econometrics,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Chemistry,Psychology,Geography,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Physics & Astronomy",/world-university-rankings/binghamton-university-state-university-new-york,8963.0
408,Turkey,Boğaziçi University,772,401–500,409,57.3,467,55.1,228,47.7,487,35.0–39.9,21.4,488,21.5,725,51.0,11967,8%,26.8,"Computer Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Civil Engineering,Chemistry,Accounting & Finance,Psychology,Economics & Econometrics,Physics & Astronomy,Mechanical & Aerospace Engineering,Mathematics & Statistics,Archaeology,Sociology,Chemical Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Education,Business & Management",/world-university-rankings/bogazici-university,6103.0
409,Italy,University of Brescia,131631,401–500,410,73.9,281,35.2,713,40.2,610,35.0–39.9,15.6,648,17.5,981,54.0,14542,7%,26.4,"Chemistry,Accounting & Finance,Chemical Engineering,Business & Management,Biological Sciences,Other Health,Sociology,Civil Engineering,Computer Science,Law,Mathematics & Statistics,Economics & Econometrics,Sport Science,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,General Engineering",/world-university-rankings/university-brescia,7852.0
410,Italy,University of Calabria,589361,401–500,411,69.2,330,32.6,920,34.3,699,35.0–39.9,25.2,403,16.9,1017,42.0,28313,3%,35.1,"Mathematics & Statistics,Computer Science,Geology, Environmental, Earth & Marine Sciences,Law,Languages, Literature & Linguistics,Business & Management,Chemical Engineering,Civil Engineering,Biological Sciences,Accounting & Finance,Archaeology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Other Health,Physics & Astronomy,Education,History, Philosophy & Theology,Communication & Media Studies,General Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Architecture,Chemistry",/world-university-rankings/university-calabria,11891.0
411,France,CentraleSupélec,131591,401–500,412,56.7,472,45.0,362,82.5,117,35.0–39.9,16.2,628,26.3,490,78.0,4226,33%,11.6,"Computer Science,General Engineering,Civil Engineering,Agriculture & Forestry,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Other Health,Physics & Astronomy,Mathematics & Statistics,Sport Science,Medicine & Dentistry",/world-university-rankings/centralesupelec,3296.0
412,Czech Republic,Charles University in Prague,799,401–500,413,56.3,476,32.1,992,55.6,369,35.0–39.9,22.0,474,29.0,415,39.0,50495,16%,13.1,"Chemistry,History, Philosophy & Theology,Education,Medicine & Dentistry,Art, Performing Arts & Design,Archaeology,Other Health,Biological Sciences,Physics & Astronomy,Languages, Literature & Linguistics,Sociology,Psychology,Economics & Econometrics,Sport Science,Mathematics & Statistics,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Law,Computer Science,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/charles-university-prague,19693.0
413,South Korea,Chung-Ang University,952,401–500,414,25.9,787,77.5,102,58.2,339,35.0–39.9,35.6,235,37.4,214,52.0,11381,28%,16.1,"Physics & Astronomy,Sociology,Computer Science,Psychology,History, Philosophy & Theology,Chemistry,Mechanical & Aerospace Engineering,Other Health,Agriculture & Forestry,Biological Sciences,Mathematics & Statistics,Law,Sport Science,Accounting & Finance,Economics & Econometrics,Geography,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Chemical Engineering,Medicine & Dentistry,Education,General Engineering,Civil Engineering",/world-university-rankings/chung-ang-university,5918.0
414,France,Claude Bernard University Lyon 1,886,401–500,415,68.9,334,37.1,609,53.3,396,35.0–39.9,18.2,574,23.1,643,46.0,27067,12%,13.0,"Chemical Engineering,Medicine & Dentistry,Physics & Astronomy,Other Health,Mechanical & Aerospace Engineering,Biological Sciences,Electrical & Electronic Engineering,Sport Science,General Engineering,Education,Computer Science,Agriculture & Forestry,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Economics & Econometrics,Chemistry,Accounting & Finance,Business & Management",/world-university-rankings/claude-bernard-university-lyon-1,12450.0
415,Cyprus,University of Cyprus,131501,401–500,416,63.1,404,48.1,307,76.8,172,35.0–39.9,25.0,407,20.8,773,32.0,6989,9%,23.1,"Biological Sciences,Law,General Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Mathematics & Statistics,Sociology,Architecture,Physics & Astronomy,History, Philosophy & Theology,Computer Science,Business & Management,Medicine & Dentistry,Archaeology,Mechanical & Aerospace Engineering,Psychology,Chemistry,Accounting & Finance,Electrical & Electronic Engineering,Civil Engineering,Education,Communication & Media Studies",/world-university-rankings/university-cyprus,2236.0
416,Ireland,Dublin City University,910,401–500,417,44.2,571,48.5,300,78.5,153,35.0–39.9,29.0,327,27.8,444,48.0,9180,17%,25.5,"Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Chemistry,Art, Performing Arts & Design,Mathematics & Statistics,Communication & Media Studies,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Law,Sport Science,Economics & Econometrics,Physics & Astronomy,Other Health,General Engineering,Biological Sciences",/world-university-rankings/dublin-city-university,4406.0
417,Italy,University of Florence,964,401–500,418,73.1,291,36.3,648,41.5,589,35.0–39.9,11.4,824,20.5,789,40.0,53112,7%,15.7,"Electrical & Electronic Engineering,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Computer Science,Accounting & Finance,Mathematics & Statistics,Business & Management,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geography,History, Philosophy & Theology,Sociology,Education,Sport Science,Law,Economics & Econometrics,Agriculture & Forestry,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Archaeology,Civil Engineering,Chemistry,Physics & Astronomy,Psychology,Architecture,Medicine & Dentistry,Other Health,General Engineering",/world-university-rankings/university-florence,21244.0
418,United States,Florida International University,909,401–500,419,59.2,451,35.6,691,37.4,649,35.0–39.9,19.5,535,28.2,434,44.0,32838,8%,24.4,"Art, Performing Arts & Design,Communication & Media Studies,Mechanical & Aerospace Engineering,Computer Science,Psychology,Geography,Civil Engineering,Other Health,Sociology,Languages, Literature & Linguistics,General Engineering,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Physics & Astronomy,Chemistry,Economics & Econometrics,Electrical & Electronic Engineering,Accounting & Finance,Business & Management,History, Philosophy & Theology,Education,Architecture,Mathematics & Statistics,Law,Chemical Engineering",/world-university-rankings/florida-international-university,14448.0
419,Italy,University of Genoa,131638,401–500,420,66.6,368,41.0,449,42.7,568,35.0–39.9,16.7,614,28.0,437,44.0,35711,9%,27.1,"Electrical & Electronic Engineering,Sport Science,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Other Health,Archaeology,Chemistry,Art, Performing Arts & Design,General Engineering,Computer Science,Mathematics & Statistics,Law,Physics & Astronomy,Business & Management,Psychology,Biological Sciences,Education,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Architecture,Economics & Econometrics,Medicine & Dentistry,History, Philosophy & Theology,Communication & Media Studies,Languages, Literature & Linguistics",/world-university-rankings/university-genoa,15712.0
420,Austria,University of Graz,721,401–500,421,58.1,461,32.8,901,74.0,192,35.0–39.9,18.3,569,23.7,611,36.0,21053,13%,22.9,"Sport Science,Law,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Business & Management,Archaeology,Chemistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Economics & Econometrics,Education,History, Philosophy & Theology,Geography,Mathematics & Statistics,Psychology,Sociology,Physics & Astronomy",/world-university-rankings/university-graz,7579.0
421,Austria,Graz University of Technology,131362,401–500,422,58.5,458,69.3,136,74.7,189,35.0–39.9,16.3,626,26.2,495,77.0,6395,17%,10.2,"Chemistry,Civil Engineering,Electrical & Electronic Engineering,Business & Management,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,Mechanical & Aerospace Engineering,Computer Science,Mathematics & Statistics,Chemical Engineering,General Engineering",/world-university-rankings/graz-university-technology,4924.0
422,Germany,University of Greifswald,131277,401–500,423,63.6,395,36.7,629,46.0,516,35.0–39.9,20.2,513,29.1,412,44.0,10857,6%,20.8,"Medicine & Dentistry,Law,Art, Performing Arts & Design,Education,Business & Management,Languages, Literature & Linguistics,Communication & Media Studies,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Physics & Astronomy,Mathematics & Statistics,Psychology,Geography,History, Philosophy & Theology,Chemistry",/world-university-rankings/university-greifswald,4777.0
423,Germany,Hamburg University of Technology,625974,401–500,424,51.6,512,87.9,64,48.9,469,35.0–39.9,23.1,451,34.4,279,74.0,7391,19%,55.1,"Electrical & Electronic Engineering,Computer Science,Business & Management,Chemical Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/hamburg-university-technology,5469.0
424,Belgium,Hasselt University,587910,401–500,425,53.9,494,48.3,303,57.2,349,35.0–39.9,27.1,362,23.8,601,53.0,5045,12%,19.0,"Education,Agriculture & Forestry,Physics & Astronomy,Sport Science,Electrical & Electronic Engineering,Chemistry,Architecture,Computer Science,Business & Management,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Civil Engineering,Chemical Engineering,Other Health,Art, Performing Arts & Design,Mathematics & Statistics,Law,Accounting & Finance,Biological Sciences,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/hasselt-university,2673.0
425,United States,Hofstra University,131554,401–500,426,74.9,264,31.7,1070,28.5,799,35.0–39.9,4.8,1098,32.9,312,44.0,10001,10%,13.9,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Communication & Media Studies,General Engineering,Economics & Econometrics,Medicine & Dentistry,Other Health,Politics & International Studies (incl Development Studies),Business & Management,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Law,Art, Performing Arts & Design,Languages, Literature & Linguistics,Geography,Accounting & Finance,Mathematics & Statistics,Physics & Astronomy,Chemistry,Sociology,Psychology,Computer Science,Archaeology,Education,History, Philosophy & Theology",/world-university-rankings/hofstra-university,4400.0
426,Japan,Hokkaido University,747,401–500,427,33.1,695,52.0,254,32.6,729,35.0–39.9,40.2,186,42.1,161,70.0,18038,9%,8.0,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Chemistry,Psychology,Geography,Mechanical & Aerospace Engineering,Agriculture & Forestry,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Economics & Econometrics,Sport Science,Physics & Astronomy,Sociology,Law,Computer Science,Accounting & Finance,Medicine & Dentistry,Business & Management,Education,Civil Engineering,Languages, Literature & Linguistics,Other Health,History, Philosophy & Theology,Architecture,Archaeology,General Engineering,Biological Sciences,Electrical & Electronic Engineering,Chemical Engineering,Veterinary Science",/world-university-rankings/hokkaido-university,12626.0
427,Hong Kong,Hong Kong Baptist University,748,401–500,428,66.9,365,32.4,950,84.8,102,35.0–39.9,13.8,714,22.0,704,39.0,11467,30%,11.4,"Sociology,Computer Science,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Biological Sciences,Chemistry,Business & Management,Law,Other Health,Sport Science,Art, Performing Arts & Design,Geography,Education,Accounting & Finance,Physics & Astronomy,History, Philosophy & Theology,Medicine & Dentistry,Economics & Econometrics,Chemical Engineering,Communication & Media Studies,Psychology",/world-university-rankings/hong-kong-baptist-university,4472.0
428,China,Huazhong University of Science and Technology,956,401–500,429,50.3,522,63.9,166,22.5,906,35.0–39.9,27.5,355,31.2,352,65.0,56140,5%,16.7,"Art, Performing Arts & Design,Law,History, Philosophy & Theology,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,Chemical Engineering,Sport Science,Economics & Econometrics,Accounting & Finance,Languages, Literature & Linguistics,Education,Politics & International Studies (incl Development Studies),Biological Sciences,Computer Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,General Engineering,Sociology,Business & Management,Civil Engineering,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Mathematics & Statistics,Architecture",/world-university-rankings/huazhong-university-science-and-technology,36491.0
429,United Kingdom,University of Hull,781,401–500,430,53.1,501,34.2,778,73.1,201,35.0–39.9,21.5,486,24.0,593,47.0,13482,19%,16.6,"Geography,Economics & Econometrics,Computer Science,Communication & Media Studies,Sport Science,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Languages, Literature & Linguistics,Business & Management,Physics & Astronomy,Chemistry,Law,Other Health,Archaeology,Biological Sciences,Sociology,General Engineering,Psychology,Mechanical & Aerospace Engineering,Mathematics & Statistics,Accounting & Finance,Electrical & Electronic Engineering,Art, Performing Arts & Design,Medicine & Dentistry,Chemical Engineering,Education",/world-university-rankings/university-hull,6336.0
430,Jordan,Jordan University of Science and Technology,131603,401–500,431,79.4,219,34.3,773,64.1,276,35.0–39.9,7.0,1068,14.8,1093,43.0,23103,20%,12.6,"Electrical & Electronic Engineering,Other Health,Languages, Literature & Linguistics,Chemical Engineering,Architecture,Mechanical & Aerospace Engineering,Veterinary Science,Civil Engineering,Biological Sciences,Agriculture & Forestry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Chemistry,Medicine & Dentistry,General Engineering,Mathematics & Statistics,Computer Science",/world-university-rankings/jordan-university-science-and-technology,9934.0
431,Finland,University of Jyväskylä,900,401–500,432,58.4,460,33.7,819,50.0,448,35.0–39.9,28.2,339,28.6,424,39.0,10020,5%,15.8,"Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sport Science,Economics & Econometrics,Mathematics & Statistics,Communication & Media Studies,Physics & Astronomy,Politics & International Studies (incl Development Studies),Psychology,Other Health,Sociology,Chemistry,Languages, Literature & Linguistics,Business & Management,History, Philosophy & Theology,Education",/world-university-rankings/university-jyvaskyla,3907.0
432,Germany,University of Kaiserslautern,131341,401–500,433,48.7,538,73.2,117,48.5,474,35.0–39.9,22.8,457,34.1,284,63.0,14493,16%,52.5,"Business & Management,Physics & Astronomy,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering,Chemistry,Computer Science,Biological Sciences,Mathematics & Statistics,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-kaiserslautern,9130.0
433,Russian Federation,Kazan Federal University,131602,401–500,434,70.9,309,38.8,532,30.1,766,35.0–39.9,16.5,619,25.5,526,33.0,25916,9%,10.8,"Electrical & Electronic Engineering,Medicine & Dentistry,General Engineering,Physics & Astronomy,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Chemistry,Business & Management,History, Philosophy & Theology,Geography,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Languages, Literature & Linguistics,Sociology,Mathematics & Statistics,Accounting & Finance,Education,Economics & Econometrics,Psychology,Law",/world-university-rankings/kazan-federal-university,8552.0
434,South Africa,University of KwaZulu-Natal,902,401–500,435,49.8,527,41.2,443,59.3,329,35.0–39.9,30.8,297,25.0,547,41.0,32023,5%,25.3,"Chemistry,Electrical & Electronic Engineering,Computer Science,Biological Sciences,Medicine & Dentistry,Accounting & Finance,Communication & Media Studies,Art, Performing Arts & Design,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Education,Law,Mechanical & Aerospace Engineering,Physics & Astronomy,Other Health,Economics & Econometrics,Languages, Literature & Linguistics,Agriculture & Forestry,Sport Science,Sociology,Geography,Civil Engineering,General Engineering,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Architecture,Psychology",/world-university-rankings/university-kwazulu-natal,13129.0
435,South Korea,Kyung Hee University,834,401–500,436,46.0,561,82.2,84,54.3,386,35.0–39.9,37.0,219,29.0,416,56.0,23512,18%,17.2,"Sociology,History, Philosophy & Theology,Law,Biological Sciences,Civil Engineering,Languages, Literature & Linguistics,Medicine & Dentistry,Physics & Astronomy,Chemical Engineering,Chemistry,General Engineering,Electrical & Electronic Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,Geography,Other Health,Economics & Econometrics,Business & Management",/world-university-rankings/kyung-hee-university,13166.0
436,France,University of Lille,587766,401–500,437,62.3,411,37.4,595,56.5,356,35.0–39.9,20.9,493,21.1,748,44.0,67978,12%,28.1,"Biological Sciences,Mechanical & Aerospace Engineering,Chemical Engineering,Business & Management,Geography,Accounting & Finance,Mathematics & Statistics,Electrical & Electronic Engineering,Law,General Engineering,Chemistry,Computer Science,Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Medicine & Dentistry,Archaeology,Sport Science,Sociology,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Education",/world-university-rankings/university-lille,29910.0
437,United States,Louisiana State University,131540,401–500,438,52.4,506,7.7,1086,33.0,722,35.0–39.9,35.4,236,35.1,263,48.0,29533,6%,20.5,"Civil Engineering,General Engineering,Other Health,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Accounting & Finance,Agriculture & Forestry,Education,Veterinary Science,Electrical & Electronic Engineering,Architecture,Art, Performing Arts & Design,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Chemical Engineering,Communication & Media Studies,Mathematics & Statistics,Geography,Psychology,Economics & Econometrics,Chemistry,Languages, Literature & Linguistics,Law,Sociology,Mechanical & Aerospace Engineering,Business & Management,Politics & International Studies (incl Development Studies)",/world-university-rankings/louisiana-state-university,14175.0
438,Uganda,Makerere University,131749,401–500,439,75.8,253,38.1,564,58.5,336,35.0–39.9,11.6,820,17.5,986,48.0,36688,8%,28.8,"Civil Engineering,Business & Management,Economics & Econometrics,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Law,Art, Performing Arts & Design,Psychology,Communication & Media Studies,Chemistry,Sociology,Education,Veterinary Science,Sport Science,Architecture,Other Health,Politics & International Studies (incl Development Studies),Accounting & Finance,Physics & Astronomy,Agriculture & Forestry,Biological Sciences,Mathematics & Statistics,History, Philosophy & Theology,Computer Science,Medicine & Dentistry,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Geography",/world-university-rankings/makerere-university,17610.0
439,Canada,University of Manitoba,790,401–500,440,56.9,470,40.2,473,45.4,526,35.0–39.9,27.2,359,27.0,469,46.0,29017,15%,28.0,"Other Health,Civil Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Education,Physics & Astronomy,Mathematics & Statistics,Geography,Law,Business & Management,Computer Science,Languages, Literature & Linguistics,General Engineering,Art, Performing Arts & Design,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,Biological Sciences,Medicine & Dentistry,Electrical & Electronic Engineering,Architecture,Economics & Econometrics,Sociology,Psychology,Chemistry",/world-university-rankings/university-manitoba,13347.0
440,Italy,Marche Polytechnic University,131584,401–500,441,79.8,212,39.0,521,29.1,781,35.0–39.9,14.7,685,25.3,535,55.0,16931,4%,24.0,"Accounting & Finance,Other Health,Biological Sciences,Architecture,Economics & Econometrics,Civil Engineering,Business & Management,Mechanical & Aerospace Engineering,Agriculture & Forestry,Medicine & Dentistry,General Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/marche-polytechnic-university,9312.0
441,United States,"University of Maryland, Baltimore County",791,401–500,442,70.7,311,33.4,851,32.8,726,35.0–39.9,17.0,606,23.6,616,54.0,11781,8%,18.8,"Chemistry,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Geography,Psychology,Economics & Econometrics,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Sociology,Other Health,Biological Sciences,Art, Performing Arts & Design,Computer Science,Business & Management,General Engineering,Communication & Media Studies,Chemical Engineering,Education,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics",/world-university-rankings/university-maryland-baltimore-county,6361.0
442,New Zealand,Massey University,839,401–500,443,48.9,535,37.6,586,92.5,40,35.0–39.9,18.9,552,22.5,678,38.0,18688,29%,15.7,"Biological Sciences,General Engineering,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,Accounting & Finance,Sociology,Economics & Econometrics,Business & Management,Communication & Media Studies,Other Health,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Psychology,Chemistry,Education,Physics & Astronomy,Agriculture & Forestry,Sport Science,Geography,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Computer Science",/world-university-rankings/massey-university,7101.0
443,Ireland,Maynooth University,843,401–500,444,51.0,517,36.3,650,78.1,156,35.0–39.9,27.6,353,23.2,638,45.0,8361,12%,30.6,"Education,Geography,Physics & Astronomy,Sociology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Biological Sciences,Computer Science,Psychology,Chemistry,History, Philosophy & Theology,Law,Business & Management,Languages, Literature & Linguistics,Art, Performing Arts & Design,Accounting & Finance,Communication & Media Studies,Electrical & Electronic Engineering,Economics & Econometrics",/world-university-rankings/maynooth-university,3762.0
444,United Kingdom,Middlesex University,131410,401–500,445,61.2,424,32.1,997,87.0,87,35.0–39.9,15.1,665,19.7,839,40.0,14756,46%,18.0,"Biological Sciences,Computer Science,Psychology,Sport Science,Sociology,General Engineering,Other Health,Mathematics & Statistics,Economics & Econometrics,Law,Business & Management,Art, Performing Arts & Design,Languages, Literature & Linguistics,Veterinary Science,Accounting & Finance,Communication & Media Studies,Architecture",/world-university-rankings/middlesex-university,5902.0
445,Italy,University of Milan-Bicocca,705,401–500,446,73.3,290,43.1,388,43.6,555,35.0–39.9,16.5,620,28.4,429,39.0,34245,7%,48.4,"Medicine & Dentistry,Chemistry,Education,Communication & Media Studies,Physics & Astronomy,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Accounting & Finance,Law,Psychology,Sociology,Mathematics & Statistics,Computer Science,Other Health",/world-university-rankings/university-milan-bicocca,13355.0
446,United States,University of Missouri,706,401–500,447,59.8,444,33.1,875,36.0,668,35.0–39.9,19.5,538,32.0,340,47.0,30535,6%,11.5,"Chemistry,Physics & Astronomy,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,General Engineering,Psychology,Geography,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Civil Engineering,Computer Science,Economics & Econometrics,Sociology,Business & Management,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Education,Communication & Media Studies,Accounting & Finance,Mechanical & Aerospace Engineering,Agriculture & Forestry,Veterinary Science,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/university-missouri,14351.0
447,Italy,University of Modena and Reggio Emilia,792,401–500,448,74.1,279,40.6,459,38.0,639,35.0–39.9,16.8,612,18.5,920,47.0,20737,6%,27.8,"Biological Sciences,Civil Engineering,Psychology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Law,Mechanical & Aerospace Engineering,Education,History, Philosophy & Theology,Business & Management,Agriculture & Forestry,Physics & Astronomy,Mathematics & Statistics,General Engineering,Other Health,Economics & Econometrics,Computer Science,Chemistry,Electrical & Electronic Engineering,Medicine & Dentistry",/world-university-rankings/university-modena-and-reggio-emilia,9746.0
448,United States,University of Montana,882,401–500,449,69.9,324,33.6,827,25.6,842,35.0–39.9,17.7,592,34.6,274,44.0,9573,3%,16.6,"Business & Management,Economics & Econometrics,Art, Performing Arts & Design,Other Health,History, Philosophy & Theology,Languages, Literature & Linguistics,Computer Science,Accounting & Finance,Biological Sciences,Agriculture & Forestry,Sport Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics,Communication & Media Studies,Education,Geography,Law,Psychology,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-montana,4212.0
449,Australia,Murdoch University,890,401–500,450,58.9,454,41.5,434,91.5,53,35.0–39.9,23.9,428,20.4,800,42.0,15526,48%,30.7,"General Engineering,Biological Sciences,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Economics & Econometrics,Computer Science,Mathematics & Statistics,Other Health,Physics & Astronomy,Sociology,Psychology,Communication & Media Studies,Law,Sport Science,Chemistry,Geology, Environmental, Earth & Marine Sciences,Education,Agriculture & Forestry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Accounting & Finance,Business & Management,History, Philosophy & Theology,Veterinary Science,Chemical Engineering",/world-university-rankings/murdoch-university,6520.0
