,name,location,2011,2012,2013,2014,2015,2016,2017,2018
107,National Tsing Hua University,Taiwan,34.1,17.7,20.1,21.5,24.8,23.2,26.6,29.0
108,Seoul National University,South Korea,44.9,16.3,27.0,29.4,30.3,30.9,32.4,34.1
109,Pennsylvania State University,United States,19.9,29.5,34.9,33.7,37.4,40.8,42.7,44.3
110,Hong Kong Baptist University,Hong Kong,71.8,58.9,62.0,59.5,62.3,75.0,79.1,84.8
111,Bilkent University,Turkey,47.7,48.5,42.0,43.7,44.6,47.5,51.9,55.6
112,Tokyo Institute of Technology,Japan,24.8,24.9,29.6,32.1,37.0,31.9,32.9,35.8
113,Eindhoven University of Technology,Netherlands,44.9,67.3,69.8,68.7,69.0,71.3,72.0,73.9
114,National Taiwan University,Taiwan,29.2,20.7,24.6,27.3,27.5,27.7,29.9,33.4
115,University of Hawai’i at Mānoa,United States,34.2,34.6,,,59.4,63.4,63.5,65.9
116,"University of California, Riverside",United States,63.0,30.0,62.8,62.2,61.6,59.5,62.2,63.9
117,University of Geneva,Switzerland,95.7,97.5,95.3,96.7,96.8,98.5,98.3,98.2
118,KU Leuven,Belgium,29.6,56.7,56.6,58.6,62.3,68.6,67.4,68.3
119,Nanjing University,China,50.2,25.0,48.4,50.8,50.2,50.4,51.4,54.4
120,Queen Mary University of London,United Kingdom,91.0,88.8,87.0,88.0,88.6,93.5,94.3,95.5
121,Technical University of Denmark,Denmark,64.0,65.2,77.0,77.4,79.7,85.1,85.8,91.6
122,Michigan State University,United States,30.4,34.0,36.8,52.6,55.0,56.4,58.8,61.2
123,Leiden University,Netherlands,40.0,54.4,54.8,58.5,59.5,64.3,68.1,70.5
124,Ghent University,Belgium,24.7,47.3,49.1,49.5,49.1,54.2,55.1,56.8
125,Lancaster University,United Kingdom,73.8,78.6,76.2,81.2,84.7,87.0,89.1,91.1
126,University of Alberta,Canada,71.6,71.9,67.6,70.1,73.4,80.7,82.7,84.8
127,University of Glasgow,United Kingdom,55.1,68.1,69.7,73.7,78.8,85.8,88.6,90.4
128,Stockholm University,Sweden,-,48.8,52.2,53.4,53.2,48.5,72.1,72.7
129,Osaka University,Japan,20.1,21.1,23.6,27.6,29.1,26.6,28.8,33.5
130,University of Victoria,Canada,-,70.5,65.9,67.0,70.1,70.2,73.7,76.7
131,Tohoku University,Japan,20.1,25.6,32.0,29.3,29.7,29.3,32.4,34.7
132,University of Iowa,United States,31.7,21.9,26.4,29.3,31.7,32.3,34.6,35.4
133,University of Freiburg,Germany,46.2,55.6,54.9,55.9,56.7,60.3,61.1,67.2
134,University of Bergen,Norway,66.6,73.5,71.0,62.9,65.3,70.0,74.0,75.3
135,University of Lausanne,Switzerland,84.1,86.7,82.7,84.5,85.1,89.2,90.1,90.8
136,University of Sheffield,United Kingdom,62.7,68.2,68.1,71.6,74.8,81.9,83.1,85.4
137,University of Montreal,Canada,-,79.5,74.6,75.6,76.7,84.2,85.0,83.2
138,Vrije Universiteit Amsterdam,Netherlands,30.6,48.0,47.1,49.2,50.6,54.9,58.9,60.7
139,University of Dundee,United Kingdom,54.4,62.5,66.6,65.7,64.5,78.5,79.1,79.8
140,Pierre and Marie Curie University,France,30.7,66.7,64.4,65.5,64.7,74.1,71.4,66.6
141,University of Barcelona,Spain,22.3,44.1,46.0,45.0,47.8,49.2,49.3,50.6
142,Utrecht University,Netherlands,52.6,58.1,47.3,49.2,52.9,55.8,57.6,59.6
143,Wageningen University & Research,Netherlands,24.3,75.9,79.2,78.3,78.7,70.3,75.6,80.6
144,University of Birmingham,United Kingdom,73.8,70.3,69.7,72.2,75.8,82.0,84.2,86.3
145,University of Auckland,New Zealand,94.3,92.9,88.0,88.0,87.3,90.5,90.5,90.6
146,Alexandria University,Egypt,19.3,31.6,,,,33.7,42.2,44.5
147,Uppsala University,Sweden,77.9,59.1,56.3,57.8,57.5,59.6,59.9,68.8
148,Hong Kong Polytechnic University,Hong Kong,82.9,62.5,65.4,62.6,69.9,79.0,79.7,79.9
149,University of Aberdeen,United Kingdom,86.1,84.8,84.1,83.6,84.1,91.4,92.0,93.3
150,Delft University of Technology,Netherlands,47.4,71.3,67.7,74.2,77.9,84.0,85.9,88.5
151,"Birkbeck, University of London",United Kingdom,88.5,85.3,83.2,83.5,84.4,89.9,88.4,87.5
152,Newcastle University,United Kingdom,80.5,76.2,74.4,76.3,73.8,84.3,84.9,86.7
153,University of New South Wales,Australia,70.7,85.1,84.8,83.5,83.5,89.5,91.0,91.4
154,Pompeu Fabra University,Spain,44.1,54.3,49.9,51.7,63.2,63.3,65.1,62.3
155,Indiana University,United States,37.7,37.7,36.0,38.3,37.1,41.2,47.0,50.5
156,Iowa State University,United States,23.2,28.3,30.5,38.8,40.6,35.4,37.9,53.8
157,Georgia Health Sciences University,United States,16.3,32.1,32.6,30.8,,,,
158,University of Delaware,United States,16.8,29.8,37.3,37.1,40.6,41.6,44.0,45.4
159,Erasmus University Rotterdam,Netherlands,58.6,65.0,62.8,66.6,66.2,76.1,77.1,80.6
160,Boston College,United States,31.6,41.4,52.4,54.4,54.6,60.0,60.2,53.8
161,Arizona State University,United States,24.1,26.1,27.4,28.6,29.5,31.9,49.7,55.2
162,National Sun Yat-Sen University,Taiwan,21.3,16.0,23.9,22.1,24.2,19.7,26.4,27.9
163,Georgetown University,United States,24.7,29.1,32.9,43.6,43.3,52.7,47.3,49.6
164,University of Liverpool,United Kingdom,59.8,73.1,73.7,75.0,79.5,85.4,87.7,89.9
165,University of Amsterdam,Netherlands,38.2,56.4,57.0,58.3,60.5,66.5,69.3,72.2
166,Aarhus University,Denmark,33.4,69.3,66.4,67.2,66.3,76.8,75.7,75.3
167,University of Würzburg,Germany,40.3,44.0,44.8,47.4,50.2,50.9,51.2,53.7
168,University of Leeds,United Kingdom,50.0,64.8,66.6,68.5,67.6,77.4,78.2,82.1
169,University of Groningen,Netherlands,35.5,47.3,49.8,53.0,56.1,63.9,66.4,74.4
170,Sun Yat-sen University,China,29.3,20.7,24.2,25.5,37.0,37.0,29.6,32.8
171,Goethe University Frankfurt,Germany,56.1,57.6,57.6,56.4,55.6,60.2,59.4,60.7
172,Bielefeld University,Germany,-,45.2,47.5,46.9,48.6,45.4,46.2,46.3
173,"Nanyang Technological University, Singapore",Singapore,96.3,89.8,90.5,91.0,92.5,94.6,95.7,95.9
174,University of Nottingham,United Kingdom,74.8,72.6,70.1,70.3,70.6,80.6,81.6,84.4
175,University of East Anglia,United Kingdom,62.8,68.5,68.9,72.3,76.5,83.5,84.3,85.6
176,University of Copenhagen,Denmark,45.8,74.8,73.5,76.0,71.8,83.3,82.3,79.3
177,University of Bonn,Germany,46.8,,54.0,54.2,54.8,63.6,64.6,58.4
178,Humboldt University of Berlin,Germany,46.1,64.5,57.5,54.4,55.7,62.6,64.4,65.6
179,Monash University,Australia,87.1,75.8,66.4,78.3,79.6,87.6,87.1,83.8
180,National Chiao Tung University,Taiwan,57.9,24.2,27.2,28.9,30.7,32.0,33.4,35.8
181,RWTH Aachen University,Germany,63.8,67.1,53.9,55.5,56.8,54.1,53.4,56.4
182,Middle East Technical University,Turkey,27.2,23.5,28.0,31.2,38.7,26.7,27.8,29.4
183,University of Exeter,United Kingdom,62.8,73.4,74.1,76.7,79.8,87.3,87.6,88.8
184,University of Twente,Netherlands,62.4,56.2,61.5,65.5,67.2,80.1,83.6,85.3
185,University of Konstanz,Germany,93.6,63.7,58.5,58.9,57.0,58.3,62.6,61.8
186,Karlsruhe Institute of Technology,Germany,47.3,64.9,64.5,61.9,60.1,56.7,59.5,62.9
