,name,location,2011,2012,2013,2014,2015,2016,2017,2018
124,Ghent University,Belgium,52.8,41.1,46.4,41.0,42.5,42.1,43.0,44.4
125,Lancaster University,United Kingdom,43.5,32.6,37.7,34.8,35.4,34.0,37.0,37.0
126,University of Alberta,Canada,53.7,50.6,50.9,44.6,43.8,46.4,49.5,47.2
127,University of Glasgow,United Kingdom,45.6,37.5,37.3,34.5,37.0,41.6,40.6,43.4
128,Stockholm University,Sweden,36.9,25.0,31.3,28.6,30.1,34.1,32.2,33.1
129,Osaka University,Japan,61.7,61.8,59.5,52.5,51.3,46.8,52.6,53.7
130,University of Victoria,Canada,32.9,16.8,20.2,18.1,21.6,20.6,22.1,24.8
131,Tohoku University,Japan,60.3,57.7,57.7,51.8,49.7,45.3,48.6,49.6
132,University of Iowa,United States,48.6,47.7,49.0,44.2,41.9,41.0,40.9,42.0
133,University of Freiburg,Germany,52.4,35.7,48.3,40.1,38.0,47.4,45.9,47.1
134,University of Bergen,Norway,39.9,29.0,28.3,30.8,29.5,32.5,29.8,29.2
135,University of Lausanne,Switzerland,43.1,27.5,33.0,27.3,29.4,30.9,31.8,30.4
136,University of Sheffield,United Kingdom,48.9,44.6,49.5,40.6,40.0,42.4,42.3,42.9
137,University of Montreal,Canada,56.1,54.5,54.0,45.7,43.8,46.3,46.8,44.5
138,Vrije Universiteit Amsterdam,Netherlands,47.6,30.4,40.5,33.1,35.5,28.4,33.1,32.5
139,University of Dundee,United Kingdom,34.1,20.8,24.8,22.5,24.4,25.6,26.7,26.3
140,Pierre and Marie Curie University,France,51.9,56.3,59.2,50.2,47.3,52.8,52.9,49.5
141,University of Barcelona,Spain,34.1,24.5,32.5,24.5,28.4,38.5,33.7,32.4
142,Utrecht University,Netherlands,43.4,42.8,48.0,36.3,38.2,48.1,46.1,45.5
143,Wageningen University & Research,Netherlands,58.5,50.1,54.9,43.1,44.3,52.6,51.8,46.6
144,University of Birmingham,United Kingdom,50.3,42.6,44.8,42.8,42.8,39.4,38.6,36.5
145,University of Auckland,New Zealand,34.8,28.3,34.0,26.7,28.6,31.4,32.8,32.5
146,Alexandria University,Egypt,29.5,15.2,,,,20.3,16.2,16.8
147,Uppsala University,Sweden,49.6,47.2,48.6,38.9,40.2,44.1,43.0,42.9
148,Hong Kong Polytechnic University,Hong Kong,39.4,30.1,34.6,28.4,33.7,29.3,35.0,39.1
149,University of Aberdeen,United Kingdom,37.8,30.6,31.9,27.9,28.0,29.7,31.0,30.3
150,Delft University of Technology,Netherlands,55.5,53.5,59.9,55.8,55.5,55.0,56.2,53.4
151,"Birkbeck, University of London",United Kingdom,41.2,25.9,27.6,31.3,28.3,33.5,27.4,30.5
152,Newcastle University,United Kingdom,42.7,34.2,37.9,29.7,30.3,30.9,33.6,33.4
153,University of New South Wales,Australia,49.5,36.1,52.6,38.8,41.1,40.7,43.2,40.9
154,Pompeu Fabra University,Spain,35.0,23.4,27.3,27.0,25.1,32.9,30.3,34.7
155,Indiana University,United States,48.5,46.8,48.3,45.8,46.5,43.0,46.4,50.5
156,Iowa State University,United States,49.3,32.8,35.7,35.6,36.4,31.2,31.2,29.1
157,Georgia Health Sciences University,United States,67.3,49.0,49.4,47.2,,,,
158,University of Delaware,United States,38.4,26.4,30.0,27.0,29.0,23.7,26.9,27.8
159,Erasmus University Rotterdam,Netherlands,39.4,28.8,44.5,37.8,39.8,37.2,38.8,38.9
160,Boston College,United States,40.1,26.5,34.5,26.3,32.4,34.1,47.3,37.0
161,Arizona State University,United States,43.0,38.2,38.4,33.8,35.7,32.4,38.5,41.5
162,National Sun Yat-Sen University,Taiwan,46.1,24.9,27.9,27.3,26.4,26.1,23.8,24.4
163,Georgetown University,United States,65.1,52.5,56.4,51.9,51.1,54.4,56.7,51.8
164,University of Liverpool,United Kingdom,40.8,34.8,38.7,31.1,31.3,32.8,35.1,32.7
165,University of Amsterdam,Netherlands,42.5,41.7,45.6,38.3,42.0,52.2,49.4,51.3
166,Aarhus University,Denmark,38.1,30.7,35.7,30.7,30.9,36.9,39.0,37.3
167,University of Würzburg,Germany,48.7,31.3,33.0,27.1,28.6,34.6,34.8,35.8
168,University of Leeds,United Kingdom,46.2,44.6,41.5,34.9,39.4,43.7,42.3,42.2
169,University of Groningen,Netherlands,41.7,32.4,43.8,36.0,36.9,43.3,41.9,40.7
170,Sun Yat-sen University,China,46.2,33.3,33.1,29.4,32.5,31.9,35.3,39.9
171,Goethe University Frankfurt,Germany,39.2,30.5,33.3,28.9,28.1,35.8,32.4,32.5
172,Bielefeld University,Germany,39.9,19.1,27.4,22.8,27.5,35.2,37.6,36.9
173,"Nanyang Technological University, Singapore",Singapore,43.6,41.4,45.7,37.7,43.9,48.4,50.6,49.5
174,University of Nottingham,United Kingdom,46.8,40.2,48.1,38.4,39.9,40.3,41.0,40.5
175,University of East Anglia,United Kingdom,42.1,26.5,29.6,27.2,25.2,31.9,30.7,29.9
176,University of Copenhagen,Denmark,44.1,37.8,42.2,33.9,34.0,49.8,46.8,44.0
177,University of Bonn,Germany,46.8,,40.9,35.8,32.2,45.1,47.2,47.3
178,Humboldt University of Berlin,Germany,50.9,51.3,55.4,45.6,51.9,63.7,62.5,61.9
179,Monash University,Australia,39.4,40.5,47.8,42.5,43.7,48.3,49.5,47.4
180,National Chiao Tung University,Taiwan,53.2,36.4,39.6,37.3,35.0,32.9,33.0,34.6
181,RWTH Aachen University,Germany,50.0,36.1,45.3,40.4,39.0,49.4,53.3,53.4
182,Middle East Technical University,Turkey,39.5,37.0,50.8,39.2,45.5,29.9,27.3,28.6
183,University of Exeter,United Kingdom,40.4,31.3,33.2,29.2,32.0,39.4,34.6,34.5
184,University of Twente,Netherlands,49.9,32.9,35.8,32.7,32.3,34.1,36.8,35.5
185,University of Konstanz,Germany,42.7,29.0,32.6,27.0,30.5,38.5,39.8,39.1
186,Karlsruhe Institute of Technology,Germany,45.0,34.6,46.3,39.0,40.5,37.7,41.3,44.6
187,University of Innsbruck,Austria,37.9,23.1,36.6,25.2,23.9,23.6,26.1,27.5
188,University of Tübingen,Germany,45.9,34.4,36.3,31.1,41.5,47.0,46.0,45.7
189,University of Cincinnati,United States,43.6,29.0,34.9,31.8,32.0,31.3,37.8,36.9
190,Drexel University,United States,45.0,36.9,34.7,33.9,31.8,31.2,32.6,33.6
191,Yonsei University,South Korea,43.0,41.5,48.3,44.5,44.5,37.2,44.2,
192,Dalhousie University,Canada,41.6,25.5,30.2,32.6,33.6,30.4,29.1,26.6
193,KTH Royal Institute of Technology,Sweden,49.1,40.9,47.5,45.0,45.7,39.0,42.5,42.3
194,University of Vienna,Austria,47.6,49.5,44.3,35.8,35.2,40.8,41.1,42.6
195,Kent State University,United States,33.5,15.9,,,,18.4,22.3,23.8
196,University of Illinois at Chicago,United States,57.8,53.3,53.9,45.5,43.0,40.9,46.0,42.1
197,Zhejiang University,China,54.6,38.8,40.3,35.9,36.0,44.3,51.7,57.0
198,Simon Fraser University,Canada,32.9,19.6,24.0,22.0,24.6,23.2,23.8,25.6
199,Swedish University of Agricultural Sciences,Sweden,43.3,28.9,28.4,29.0,27.9,31.5,31.3,30.0
